"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 15:39:25 GMT 2025","Sun Sep 14 15:39:26 GMT 2025","444","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Sun Sep 14 15:39:25 GMT 2025","Sun Sep 14 15:39:25 GMT 2025","456","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
"passed","Sun Sep 14 15:39:26 GMT 2025","Sun Sep 14 15:39:26 GMT 2025","439","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Sun Sep 14 15:39:22 GMT 2025","Sun Sep 14 15:39:22 GMT 2025","352","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Sun Sep 14 15:39:23 GMT 2025","Sun Sep 14 15:39:24 GMT 2025","1316","chromium","tests/features/web/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Sun Sep 14 15:39:22 GMT 2025","Sun Sep 14 15:39:23 GMT 2025","348","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Sun Sep 14 15:39:24 GMT 2025","Sun Sep 14 15:39:25 GMT 2025","484","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Sun Sep 14 15:39:25 GMT 2025","Sun Sep 14 15:39:25 GMT 2025","472","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Sun Sep 14 15:39:20 GMT 2025","Sun Sep 14 15:39:21 GMT 2025","723","chromium","tests/features/web/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
"passed","Sun Sep 14 15:39:22 GMT 2025","Sun Sep 14 15:39:22 GMT 2025","386","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Sun Sep 14 15:39:21 GMT 2025","Sun Sep 14 15:39:22 GMT 2025","474","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Sun Sep 14 15:39:18 GMT 2025","Sun Sep 14 15:39:19 GMT 2025","744","chromium","tests/features/web/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Sun Sep 14 15:39:27 GMT 2025","Sun Sep 14 15:39:27 GMT 2025","483","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Sun Sep 14 15:39:18 GMT 2025","Sun Sep 14 15:39:18 GMT 2025","466","chromium","tests/features/api/getReqres.feature.spec.js","Get Method","","","Get list users",""
"passed","Sun Sep 14 15:39:26 GMT 2025","Sun Sep 14 15:39:27 GMT 2025","464","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
